WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
314,ABW,PCPIPCH,Aruba,"Inflation, average consumer prices",Percent change,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.639,3.121,3.989,5.838,5.553,3.87,5.219,6.284,3.413,3.169,3.006,1.865,2.274,4.074,2.884,3.316,3.655,2.53,3.397,3.61,5.389,8.96,-2.137,2.078,4.375,0.571,-2.372,0.423,0.473,-0.929,-1.028,3.625,3.938,-1.312,0.744,5.522,3.363,1.712,2024
314,ABW,PCPIE,Aruba,"Inflation, end of period consumer prices",Index,Units,n/a,n/a,n/a,n/a,n/a,n/a,38.43,39.77,41.34,43.12,46.18,47.9,50.04,53.25,55.74,57.48,59.26,60.91,61.76,64.06,66.33,68,70.83,72.45,74.46,77.28,79.22,87.08,85.46,91.25,90.59,96.14,92.57,92.64,94.68,93.8,92.98,92.55,96.67,100.13,97.06,100.6,106.37,108.79,109.071,2024
314,ABW,PCPIEPCH,Aruba,"Inflation, end of period consumer prices",Percent change,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.487,3.948,4.306,7.096,3.725,4.468,6.415,4.676,3.122,3.097,2.784,1.396,3.724,3.544,2.518,4.162,2.287,2.774,3.787,2.51,9.922,-1.86,6.775,-0.723,6.127,-3.713,0.076,2.202,-0.929,-0.874,-0.462,4.452,3.579,-3.066,3.647,5.736,2.275,0.258,2024
193,AUS,PCPI,Australia,"Inflation, average consumer prices",Index,Units,26.35,28.85,32.125,35.35,36.75,39.225,42.775,46.425,49.8,53.575,57.45,59.35,59.925,60.975,62.15,65.025,66.75,66.9,67.475,68.425,71.475,74.625,76.9,79,80.85,83,85.95,87.975,91.8,93.425,96.1,99.325,101,103.475,106.075,107.65,109.025,111.2,113.35,115.125,116.125,119.425,127.325,134.475,138.775,2024
193,AUS,PCPIPCH,Australia,"Inflation, average consumer prices",Percent change,Units,10.136,9.488,11.352,10.039,3.96,6.735,9.05,8.533,7.27,7.58,7.233,3.307,0.969,1.752,1.927,4.626,2.653,0.225,0.859,1.408,4.457,4.407,3.049,2.731,2.342,2.659,3.554,2.356,4.348,1.77,2.863,3.356,1.686,2.45,2.513,1.485,1.277,1.995,1.933,1.566,0.869,2.842,6.615,5.616,3.198,2024
193,AUS,PCPIE,Australia,"Inflation, end of period consumer prices",Index,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,51.2,55.2,59,59.9,60.1,61.2,62.9,66,67.1,66.9,67.9,69.1,73.1,75.4,77.7,79.6,81.7,83.9,86.7,89.3,92.6,94.5,97,99.9,102,104.7,106.5,108.3,109.8,112.1,114,116.1,117.1,121.4,130.9,136.2,139.5,2024
193,AUS,PCPIEPCH,Australia,"Inflation, end of period consumer prices",Percent change,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.813,6.884,1.525,0.334,1.83,2.778,4.928,1.667,-0.298,1.495,1.767,5.789,3.146,3.05,2.445,2.638,2.693,3.337,2.999,3.695,2.052,2.646,2.99,2.102,2.647,1.719,1.69,1.385,2.095,1.695,1.842,0.861,3.672,7.825,4.049,2.423,2024
122,AUT,PCPI,Austria,"Inflation, average consumer prices",Index,Units,53.215,56.837,59.929,61.928,65.436,67.523,68.696,69.663,70.964,72.561,74.575,76.899,79.534,82.106,84.332,85.691,87.209,88.226,88.947,89.406,91.155,93.253,94.821,96.055,97.941,100,101.686,103.923,107.28,107.715,109.537,113.417,116.33,118.794,120.535,121.511,122.693,125.427,128.088,129.999,131.809,135.446,147.121,158.466,163.089,2024
122,AUT,PCPIPCH,Austria,"Inflation, average consumer prices",Percent change,Units,6.325,6.807,5.44,3.335,5.665,3.19,1.737,1.408,1.868,2.249,2.777,3.116,3.426,3.234,2.711,1.611,1.771,1.167,0.817,0.516,1.956,2.302,1.681,1.302,1.964,2.102,1.686,2.2,3.23,0.406,1.691,3.542,2.569,2.118,1.465,0.81,0.973,2.228,2.122,1.493,1.392,2.76,8.619,7.712,2.918,2024
122,AUT,PCPIE,Austria,"Inflation, end of period consumer prices",Index,Units,54.518,58.011,60.752,63.052,66.235,68.092,68.844,69.974,71.28,73.047,75.334,77.39,80.285,82.771,84.748,85.218,87.209,88.078,88.512,89.984,91.625,93.242,94.811,96.078,98.492,100,101.629,105.153,106.697,107.819,110.173,113.913,117.232,119.561,120.526,121.817,123.748,126.632,128.804,131.157,132.485,137.505,151.997,160.589,164.016,2024
